
============================================================
compandit library quikie program
M. A. Chatterjee (c) 2012

These routines were developed for use on embedded projects
for more info see the accompanying compand.txt

 index   wave  actDCbias  calcDCbias  calcDCbias(f) alaw
   280   1908     1923       1961      1961.2500      86
   281   1910     1923       1961      1961.0469      86
   282   1912     1923       1960      1960.8438      86
   283   1914     1923       1960      1960.6562      87
   284   1916     1923       1960      1960.4688      87
   285   1918     1923       1960      1960.2969      87
   286   1920     1923       1960      1960.1250      87
   287   1922     1923       1959      1959.9688      87
   288   1924     1923       1959      1959.8281      87
   289   1926     1923       1959      1959.6875      87
   290   1928     1923       1959      1959.5625      84
   291   1930     1923       1959      1959.4375      84
   292   1932     1923       1959      1959.3281      84
   293   1934     1923       1959      1959.2188      84
   294   1936     1923       1959      1959.1250      84
   295   1938     1923       1959      1959.0312      84
   296   1940     1923       1958      1958.9531      84
   297   1942     1923       1958      1958.8750      84
   298   1944     1923       1958      1958.8125      85
   299   1946     1923       1958      1958.7500      85
   300   1948     1923       1958      1958.7031      85
   301   1950     1923       1958      1958.6562      85
   302   1952     1923       1958      1958.6250      85
   303   1954     1923       1958      1958.5938      85
   304   1956     1923       1958      1958.5781      85
   305   1958     1923       1958      1958.5625     -43
   306   1960     1923       1958      1958.5625     -43
   307   1962     1923       1958      1958.5625     -43
   308   1964     1923       1958      1958.5781     -43
   309   1966     1923       1958      1958.5938     -43
   310   1968     1923       1958      1958.6250     -43
   311   1970     1923       1958      1958.6562     -43
   312   1972     1923       1958      1958.7031     -43
   313   1974     1923       1958      1958.7500     -44
   314   1976     1923       1958      1958.8125     -44
   315   1978     1923       1958      1958.8750     -44
   316   1980     1923       1958      1958.9531     -44
   317   1982     1923       1959      1959.0312     -44
   318   1984     1923       1959      1959.1250     -44
   319   1986     1923       1959      1959.2188     -44
   320   1860     1923       1958      1958.8281      83
   321   1862     1923       1958      1958.4375      83
   322   1864     1923       1958      1958.0625      80
   323   1866     1923       1957      1957.6875      80
   324   1868     1923       1957      1957.3281      80
   325   1870     1923       1956      1956.9844      80
   326   1872     1923       1956      1956.6406      80
   327   1874     1923       1956      1956.3125      80
   328   1876     1923       1955      1955.9844      81
   329   1878     1923       1955      1955.6719      81
   330   1880     1923       1955      1955.3750      81
   331   1882     1923       1955      1955.0781      81
   332   1884     1923       1954      1954.7969      81
   333   1886     1923       1954      1954.5156      81
   334   1888     1923       1954      1954.2500      81
   335   1890     1923       1953      1953.9844      86
   336   1892     1923       1953      1953.7344      86
   337   1894     1923       1953      1953.5000      86
   338   1896     1923       1953      1953.2656      86
   339   1898     1923       1953      1953.0469      86
   340   1900     1923       1952      1952.8281      86
   341   1902     1923       1952      1952.6250      86
   342   1904     1923       1952      1952.4219      86
   343   1906     1923       1952      1952.2344      87
   344   1908     1923       1952      1952.0469      87
   345   1910     1923       1951      1951.8750      87
   346   1912     1923       1951      1951.7188      87
   347   1914     1923       1951      1951.5625      87
   348   1916     1923       1951      1951.4219      87
   349   1918     1923       1951      1951.2812      87
   350   1920     1923       1951      1951.1562      84
   351   1922     1923       1951      1951.0312      84
   352   1924     1923       1950      1950.9219      84
   353   1926     1923       1950      1950.8125      84
   354   1928     1923       1950      1950.7188      84
   355   1930     1923       1950      1950.6250      84
   356   1932     1923       1950      1950.5469      84
   357   1934     1923       1950      1950.4688      84
   358   1936     1923       1950      1950.4062      85
   359   1938     1923       1950      1950.3438      85
   360   1940     1923       1950      1950.2969      85
   361   1942     1923       1950      1950.2500      85
   362   1944     1923       1950      1950.2188      85
   363   1946     1923       1950      1950.1875      85
   364   1948     1923       1950      1950.1719      85
   365   1950     1923       1950      1950.1562     -43
   366   1952     1923       1950      1950.1562     -43
   367   1954     1923       1950      1950.1562     -43
   368   1956     1923       1950      1950.1719     -43
   369   1958     1923       1950      1950.1875     -43
   370   1960     1923       1950      1950.2188     -43
   371   1962     1923       1950      1950.2500     -43
   372   1964     1923       1950      1950.2969     -43
   373   1966     1923       1950      1950.3438     -44
   374   1968     1923       1950      1950.4062     -44
   375   1970     1923       1950      1950.4688     -44
   376   1972     1923       1950      1950.5469     -44
   377   1974     1923       1950      1950.6250     -44
   378   1976     1923       1950      1950.7188     -44
   379   1978     1923       1950      1950.8125     -44
   380   1980     1923       1950      1950.9219     -44
   381   1982     1923       1951      1951.0312     -44
   382   1984     1923       1951      1951.1562     -41
   383   1986     1923       1951      1951.2812     -41
   384   1860     1923       1950      1950.9219      80
   385   1862     1923       1950      1950.5625      80
   386   1864     1923       1950      1950.2188      80
   387   1866     1923       1949      1949.8750      80
   388   1868     1923       1949      1949.5469      80
   389   1870     1923       1949      1949.2344      81
   390   1872     1923       1948      1948.9219      81
   391   1874     1923       1948      1948.6250      81
   392   1876     1923       1948      1948.3281      81
   393   1878     1923       1948      1948.0469      81
   394   1880     1923       1947      1947.7656      81
   395   1882     1923       1947      1947.5000      81
   396   1884     1923       1947      1947.2500      86
   397   1886     1923       1947      1947.0000      86
   398   1888     1923       1946      1946.7656      86
   399   1890     1923       1946      1946.5312      86
   400   1892     1923       1946      1946.3125      86
   401   1894     1923       1946      1946.0938      86
   402   1896     1923       1945      1945.8906      86
   403   1898     1923       1945      1945.7031      87
   404   1900     1923       1945      1945.5156      87
   405   1902     1923       1945      1945.3438      87
   406   1904     1923       1945      1945.1719      87
   407   1906     1923       1945      1945.0156      87
   408   1908     1923       1944      1944.8594      87
   409   1910     1923       1944      1944.7188      87
   410   1912     1923       1944      1944.5781      87
   411   1914     1923       1944      1944.4531      84
   412   1916     1923       1944      1944.3281      84
   413   1918     1923       1944      1944.2188      84
   414   1920     1923       1944      1944.1094      84
   415   1922     1923       1944      1944.0156      84
   416   1924     1923       1943      1943.9219      84
   417   1926     1923       1943      1943.8438      84
   418   1928     1923       1943      1943.7812      85
   419   1930     1923       1943      1943.7188      85
   420   1932     1923       1943      1943.6719      85
   421   1934     1923       1943      1943.6250      85
   422   1936     1923       1943      1943.5938      85
   423   1938     1923       1943      1943.5625      85
   424   1940     1923       1943      1943.5469      85
   425   1942     1923       1943      1943.5312      85
   426   1944     1923       1943      1943.5312     -43
   427   1946     1923       1943      1943.5312     -43
   428   1948     1923       1943      1943.5469     -43
   429   1950     1923       1943      1943.5625     -43
   430   1952     1923       1943      1943.5938     -43
   431   1954     1923       1943      1943.6250     -43
   432   1956     1923       1943      1943.6719     -43
   433   1958     1923       1943      1943.7188     -43
   434   1960     1923       1943      1943.7812     -44
   435   1962     1923       1943      1943.8438     -44
   436   1964     1923       1943      1943.9219     -44
   437   1966     1923       1944      1944.0000     -44
   438   1968     1923       1944      1944.0938     -44
   439   1970     1923       1944      1944.1875     -44
   440   1972     1923       1944      1944.2812     -44
   441   1974     1923       1944      1944.3906     -44
   442   1976     1923       1944      1944.5000     -41
   443   1978     1923       1944      1944.6250     -41
   444   1980     1923       1944      1944.7500     -41
   445   1982     1923       1944      1944.8906     -41
   446   1984     1923       1945      1945.0312     -41
   447   1986     1923       1945      1945.1875     -41
   448   1860     1923       1944      1944.8438      80
   449   1862     1923       1944      1944.5156      80
   450   1864     1923       1944      1944.1875      80
   451   1866     1923       1943      1943.8750      81
   452   1868     1923       1943      1943.5781      81
   453   1870     1923       1943      1943.2812      81
   454   1872     1923       1943      1943.0000      81
   455   1874     1923       1942      1942.7188      81
   456   1876     1923       1942      1942.4531      81
   457   1878     1923       1942      1942.1875      81
   458   1880     1923       1941      1941.9375      86
   459   1882     1923       1941      1941.7031      86
   460   1884     1923       1941      1941.4688      86
   461   1886     1923       1941      1941.2500      86
   462   1888     1923       1941      1941.0312      86
   463   1890     1923       1940      1940.8281      86
   464   1892     1923       1940      1940.6250      86
   465   1894     1923       1940      1940.4375      87
   466   1896     1923       1940      1940.2500      87
   467   1898     1923       1940      1940.0781      87
   468   1900     1923       1939      1939.9062      87
   469   1902     1923       1939      1939.7500      87
   470   1904     1923       1939      1939.6094      87
   471   1906     1923       1939      1939.4688      87
   472   1908     1923       1939      1939.3438      84
   473   1910     1923       1939      1939.2188      84
   474   1912     1923       1939      1939.1094      84
   475   1914     1923       1939      1939.0000      84
   476   1916     1923       1938      1938.9062      84
   477   1918     1923       1938      1938.8125      84
   478   1920     1923       1938      1938.7344      84
   479   1922     1923       1938      1938.6562      84
   480   1924     1923       1938      1938.5938      85
   481   1926     1923       1938      1938.5312      85
   482   1928     1923       1938      1938.4844      85
   483   1930     1923       1938      1938.4375      85
   484   1932     1923       1938      1938.4062      85
   485   1934     1923       1938      1938.3750      85
   486   1936     1923       1938      1938.3594      85
   487   1938     1923       1938      1938.3438     -43
   488   1940     1923       1938      1938.3438     -43
   489   1942     1923       1938      1938.3438     -43
   490   1944     1923       1938      1938.3594     -43
   491   1946     1923       1938      1938.3750     -43
   492   1948     1923       1938      1938.4062     -43
   493   1950     1923       1938      1938.4375     -43
   494   1952     1923       1938      1938.4844     -43
   495   1954     1923       1938      1938.5312     -44
   496   1956     1923       1938      1938.5938     -44
   497   1958     1923       1938      1938.6562     -44
   498   1960     1923       1938      1938.7344     -44
   499   1962     1923       1938      1938.8125     -44
